term_id,L,S,J,Jʹ,K,Q,coefficient
2p3_L=1.0_S=1.0,1,1,2.0,2.0,3.0,3.0,10220000.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,-4.0,10220000.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,-3.0,10220000.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,-2.0,10220000.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,-1.0,10220000.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,0.0,10220000.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,1.0,10220000.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,2.0,10220000.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,3.0,10220000.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,4.0,10220000.0
3p3_L=1.0_S=1.0,1,1,0.0,0.0,0.0,-0.0,9478000.0
3p3_L=1.0_S=1.0,1,1,0.0,1.0,1.0,-1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,0.0,1.0,1.0,0.0,9478000.0
3p3_L=1.0_S=1.0,1,1,0.0,1.0,1.0,1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,0.0,9478000.0
3p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,-1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,0.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,1.0,0.0,-0.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,-1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,0.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,1.0,1.0,1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,1.0,2.0,-2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,1.0,2.0,-1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,1.0,2.0,0.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,1.0,2.0,1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,1.0,2.0,2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,2.0,1.0,-1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,2.0,1.0,0.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,2.0,1.0,1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,2.0,2.0,-2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,2.0,2.0,-1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,2.0,2.0,0.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,2.0,2.0,1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,2.0,2.0,2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,2.0,3.0,-3.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,2.0,3.0,-2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,2.0,3.0,-1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,2.0,3.0,0.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,2.0,3.0,1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,2.0,3.0,2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,1.0,2.0,3.0,3.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,0.0,2.0,-2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,0.0,2.0,-1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,0.0,2.0,0.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,0.0,2.0,1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,0.0,2.0,2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,1.0,1.0,-1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,1.0,1.0,0.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,1.0,1.0,1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,1.0,2.0,-2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,1.0,2.0,-1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,1.0,2.0,0.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,1.0,2.0,1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,1.0,2.0,2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,1.0,3.0,-3.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,1.0,3.0,-2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,1.0,3.0,-1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,1.0,3.0,0.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,1.0,3.0,1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,1.0,3.0,2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,1.0,3.0,3.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,0.0,-0.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,1.0,-1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,1.0,0.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,1.0,1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,2.0,-2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,2.0,-1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,2.0,0.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,2.0,1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,2.0,2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,3.0,-3.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,3.0,-2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,3.0,-1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,3.0,0.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,3.0,1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,3.0,2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,3.0,3.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,-4.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,-3.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,-2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,-1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,0.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,1.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,2.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,3.0,9478000.0
3p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,4.0,9478000.0
3d3_L=2.0_S=1.0,2,1,1.0,1.0,0.0,-0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,1.0,1.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,1.0,1.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,1.0,1.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,1.0,2.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,1.0,2.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,1.0,2.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,1.0,2.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,1.0,2.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,2.0,1.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,2.0,1.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,2.0,1.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,2.0,2.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,2.0,2.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,2.0,2.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,2.0,2.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,2.0,2.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,2.0,3.0,-3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,2.0,3.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,2.0,3.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,2.0,3.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,2.0,3.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,2.0,3.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,2.0,3.0,3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,2.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,2.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,2.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,2.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,2.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,3.0,-3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,3.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,3.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,3.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,3.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,3.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,3.0,3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,4.0,-4.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,4.0,-3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,4.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,4.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,4.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,4.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,4.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,4.0,3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,1.0,3.0,4.0,4.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,1.0,1.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,1.0,1.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,1.0,1.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,1.0,2.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,1.0,2.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,1.0,2.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,1.0,2.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,1.0,2.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,1.0,3.0,-3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,1.0,3.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,1.0,3.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,1.0,3.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,1.0,3.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,1.0,3.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,1.0,3.0,3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,0.0,-0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,1.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,1.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,1.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,2.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,2.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,2.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,2.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,2.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,3.0,-3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,3.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,3.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,3.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,3.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,3.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,3.0,3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,4.0,-4.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,4.0,-3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,4.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,4.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,4.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,4.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,4.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,4.0,3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,4.0,4.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,1.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,1.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,1.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,2.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,2.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,2.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,2.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,2.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,3.0,-3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,3.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,3.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,3.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,3.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,3.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,3.0,3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,4.0,-4.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,4.0,-3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,4.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,4.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,4.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,4.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,4.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,4.0,3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,4.0,4.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,-5.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,-4.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,-3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,3.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,4.0,70600000.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,5.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,1.0,2.0,-2.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,1.0,2.0,-1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,1.0,2.0,0.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,1.0,2.0,1.0,70600000.0
3d3_L=2.0_S=1.0,2,1,3.0,1.0,2.0,2.0,70600000.0
