term_id,K,Q,J,Jʹ,term_upper_id,transition_id,Ku,Qu,Ju,Jʹu,coefficient,index1,index0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,2.0,2.0,1.0,0.0,66,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,3.0,-3.0,2.0,1.0,0.0,67,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,3.0,-2.0,2.0,1.0,0.0,68,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,3.0,-1.0,2.0,1.0,0.0,69,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,3.0,0.0,2.0,1.0,0.0,70,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,3.0,1.0,2.0,1.0,0.0,71,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,3.0,2.0,2.0,1.0,0.0,72,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,3.0,3.0,2.0,1.0,0.0,73,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,-0.0,2.0,2.0,39581889.79823979,74,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,2.0,0.0,75,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,2.0,0.0,76,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,2.0,2.0,0.0,77,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-2.0,2.0,2.0,0.0,78,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-1.0,2.0,2.0,0.0,79,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,0.0,2.0,2.0,0.0,80,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,1.0,2.0,2.0,0.0,81,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,2.0,2.0,2.0,0.0,82,0
