term_id,L,S,term_upper_id,Lu,J,Jʹ,K,Q,Ju,Jʹu,Ku,Qu,coefficient
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,44095833.33333333
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,1.0,-0.0,1.0,2.0,1.0,-0.0,76376223.73542261
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,1.0,-0.0,2.0,1.0,1.0,-0.0,-76376223.73542261
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,1.0,-0.0,2.0,2.0,1.0,-0.0,177482305.544102
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44095833.33333333
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,76376223.73542261
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,-76376223.73542261
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,177482305.544102
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,-2.0,1.0,1.0,2.0,-2.0,-44095833.33333333
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,-2.0,1.0,2.0,2.0,-2.0,102469456.88228272
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,-2.0,2.0,1.0,2.0,-2.0,-102469456.8822827
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,-2.0,2.0,2.0,2.0,-2.0,121243496.44929413
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,-1.0,1.0,1.0,2.0,-1.0,-44095833.33333333
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,-1.0,1.0,2.0,2.0,-1.0,102469456.88228272
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,-1.0,2.0,1.0,2.0,-1.0,-102469456.8822827
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,-1.0,2.0,2.0,2.0,-1.0,121243496.44929413
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,-0.0,1.0,1.0,2.0,-0.0,-44095833.33333333
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,-0.0,1.0,2.0,2.0,-0.0,102469456.88228272
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,-0.0,2.0,1.0,2.0,-0.0,-102469456.8822827
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,-0.0,2.0,2.0,2.0,-0.0,121243496.44929413
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,-44095833.33333333
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,102469456.88228272
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,-102469456.8822827
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,121243496.44929413
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,-44095833.33333333
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,102469456.88228272
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,-102469456.8822827
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,121243496.44929413
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-11385495.209142527
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,1.0,-1.0,1.0,2.0,1.0,-1.0,59160768.51470068
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,1.0,-1.0,2.0,1.0,1.0,-1.0,3944051.2343133786
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,1.0,-1.0,2.0,2.0,1.0,-1.0,-45825734.24125358
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,1.0,-1.0,2.0,3.0,1.0,-1.0,216886959.91230088
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,1.0,-0.0,1.0,1.0,1.0,-0.0,-11385495.209142527
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,1.0,-0.0,1.0,2.0,1.0,-0.0,59160768.51470068
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,1.0,-0.0,2.0,1.0,1.0,-0.0,3944051.2343133786
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,1.0,-0.0,2.0,2.0,1.0,-0.0,-45825734.24125358
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,1.0,-0.0,2.0,3.0,1.0,-0.0,216886959.91230088
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,-11385495.209142527
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,59160768.51470068
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3944051.2343133786
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,-45825734.24125358
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,216886959.91230088
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,-2.0,1.0,1.0,2.0,-2.0,-15275244.747084523
