term_id,K,Q,J,Jʹ,term_lower_id,transition_id,Kʹ,Qʹ,Jʹʹ,Jʹʹʹ,Kr,Qr,r_s_1,index1,index0
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2.0,0.0,0.0,31,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,1.0,1.0,-34684991696.514404,32,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,32,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,33,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.0,39,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,2.0,1.0,0.0,0.0,39,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,2.0,2.0,0.0,0.0,39,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,40,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,40,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,41,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,1.0,0.0,0.0,0.0,59,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,1.0,1.0,0.0,0.0,59,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,1.0,2.0,0.0,15511599846.484392,59,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,60,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,1.0,2.0,1.0,26866879040.788567,60,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,2.0,1.0,2.0,2.0,37995504718.120636,61,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,2.0,0.0,0.0,0.0,75,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,2.0,1.0,0.0,0.0,75,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,2.0,2.0,0.0,0.0,75,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,76,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,76,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,77,19
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,0.0,1.0,1.0,-1.0,30038083939.233795,19,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,0.0,1.0,2.0,-1.0,30038083939.233795,19,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,0.0,1.0,0.0,0.0,98103971336.0177,20,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,20,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,0.0,1.0,2.0,0.0,34684991696.514404,20,20
