term_id,L,S,term_lower_id,Ll,transition_id,J,Jʹ,K,Q,Jl,Jʹl,Kl,Ql,Kr,Qr,coefficient
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.0,0.0,2.0,1.0,-4.064851196694841e-07
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.0,1.0,2.0,2.0,-3.318937104081313e-07
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,2.0,1.0,-1.0,0.0,-0.0,5314547166.295721
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,2.0,1.0,-1.0,1.0,0.0,6508964385.689386
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,2.0,1.0,-1.0,2.0,0.0,1503180936.0893817
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,2.0,1.0,0.0,1.0,1.0,6508964385.689386
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,2.0,1.0,0.0,2.0,1.0,2603585754.275755
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,2.0,1.0,1.0,2.0,2.0,3682026284.4981565
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,2.0,2.0,-2.0,1.0,-1.0,0.0
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,2.0,2.0,-2.0,2.0,-1.0,4116630533.5394273
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,2.0,2.0,-1.0,1.0,0.0,0.0
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,2.0,2.0,-1.0,2.0,0.0,5041822133.366435
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,2.0,2.0,0.0,2.0,1.0,5041822133.366435
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,2.0,2.0,1.0,2.0,2.0,4116630533.5394273
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,2.0,3.0,-3.0,2.0,-2.0,-7130213240.079666
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,2.0,3.0,-2.0,2.0,-1.0,-5821794731.810652
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,2.0,3.0,-1.0,2.0,0.0,-4509542808.2681465
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,2.0,3.0,0.0,2.0,1.0,-3188728299.7774324
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,1.0,2.0,3.0,1.0,2.0,2.0,-1841013142.2490785
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,2.0,0.0,2.0,-2.0,1.0,-1.0,-4116630533.539429
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,2.0,0.0,2.0,-2.0,2.0,-1.0,4116630533.5394297
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,2.0,0.0,2.0,-1.0,1.0,0.0,-2910897365.905326
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,2.0,0.0,2.0,-1.0,2.0,0.0,5041822133.366438
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,2.0,0.0,2.0,0.0,1.0,1.0,-1680607377.7888122
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,2.0,0.0,2.0,0.0,2.0,1.0,5041822133.366438
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,2.0,0.0,2.0,1.0,2.0,2.0,4116630533.5394297
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,-1.0,0.0,-0.0,-5314547166.295721
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,-1.0,1.0,0.0,6508964385.689386
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,-1.0,2.0,0.0,-1503180936.0893815
