term_id,L,S,J,Jʹ,K,Q,coefficient
2p3_L=1.0_S=1.0,1,1,2.0,2.0,2.0,-0.0,0.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,2.0,1.0,0.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,2.0,2.0,0.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,3.0,-3.0,0.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,3.0,-2.0,0.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,3.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,3.0,-0.0,0.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,3.0,1.0,0.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,3.0,2.0,0.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,3.0,3.0,0.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,-4.0,0.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,-3.0,0.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,-2.0,0.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,-0.0,0.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,1.0,0.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,2.0,0.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,3.0,0.0
2p3_L=1.0_S=1.0,1,1,2.0,2.0,4.0,4.0,0.0
2s3_L=0.0_S=1.0,0,1,1.0,1.0,0.0,-0.0,0.0
2s3_L=0.0_S=1.0,0,1,1.0,1.0,1.0,-1.0,0.0
2s3_L=0.0_S=1.0,0,1,1.0,1.0,1.0,-0.0,0.0
2s3_L=0.0_S=1.0,0,1,1.0,1.0,1.0,1.0,0.0
2s3_L=0.0_S=1.0,0,1,1.0,1.0,2.0,-2.0,0.0
2s3_L=0.0_S=1.0,0,1,1.0,1.0,2.0,-1.0,0.0
2s3_L=0.0_S=1.0,0,1,1.0,1.0,2.0,-0.0,0.0
2s3_L=0.0_S=1.0,0,1,1.0,1.0,2.0,1.0,0.0
2s3_L=0.0_S=1.0,0,1,1.0,1.0,2.0,2.0,0.0
3d3_L=2.0_S=1.0,2,1,1.0,1.0,0.0,-0.0,0.0
3d3_L=2.0_S=1.0,2,1,1.0,1.0,1.0,-1.0,0.0
3d3_L=2.0_S=1.0,2,1,1.0,1.0,1.0,-0.0,0.0
3d3_L=2.0_S=1.0,2,1,1.0,1.0,1.0,1.0,0.0
3d3_L=2.0_S=1.0,2,1,1.0,1.0,2.0,-2.0,0.0
3d3_L=2.0_S=1.0,2,1,1.0,1.0,2.0,-1.0,0.0
3d3_L=2.0_S=1.0,2,1,1.0,1.0,2.0,-0.0,0.0
3d3_L=2.0_S=1.0,2,1,1.0,1.0,2.0,1.0,0.0
3d3_L=2.0_S=1.0,2,1,1.0,1.0,2.0,2.0,0.0
3d3_L=2.0_S=1.0,2,1,1.0,2.0,1.0,-1.0,1325082664.4772654
3d3_L=2.0_S=1.0,2,1,1.0,2.0,1.0,-0.0,1325082664.4772654
3d3_L=2.0_S=1.0,2,1,1.0,2.0,1.0,1.0,1325082664.4772654
3d3_L=2.0_S=1.0,2,1,1.0,2.0,2.0,-2.0,1325082664.4772654
3d3_L=2.0_S=1.0,2,1,1.0,2.0,2.0,-1.0,1325082664.4772654
3d3_L=2.0_S=1.0,2,1,1.0,2.0,2.0,-0.0,1325082664.4772654
3d3_L=2.0_S=1.0,2,1,1.0,2.0,2.0,1.0,1325082664.4772654
3d3_L=2.0_S=1.0,2,1,1.0,2.0,2.0,2.0,1325082664.4772654
