term_id,K,Q,J,Jʹ,term_upper_id,transition_id,Ku,Qu,Ju,Jʹu,t_s_1,Kr,Qr,index1,index0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,2.0,63325841196.86774,1.0,1.0,41,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-2.0,1.0,2.0,-84960531389.13173,2.0,-2.0,42,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-1.0,1.0,2.0,-84960531389.13173,2.0,-1.0,43,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,0.0,1.0,2.0,-84960531389.13173,2.0,0.0,44,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,1.0,1.0,2.0,-84960531389.13173,2.0,1.0,45,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,2.0,1.0,2.0,-84960531389.13173,2.0,2.0,46,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-2.0,2.0,0.0,56640354259.42116,2.0,-2.0,54,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-1.0,2.0,0.0,56640354259.42116,2.0,-1.0,55,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,0.0,2.0,0.0,56640354259.42116,2.0,0.0,56,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,1.0,2.0,0.0,56640354259.42116,2.0,1.0,57,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,2.0,2.0,0.0,56640354259.42116,2.0,2.0,58,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,1.0,-63325841196.867714,1.0,-1.0,59,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,1.0,-63325841196.867714,1.0,0.0,60,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,2.0,1.0,-63325841196.867714,1.0,1.0,61,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-2.0,2.0,1.0,84960531389.13176,2.0,-2.0,62,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-1.0,2.0,1.0,84960531389.13176,2.0,-1.0,63,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,0.0,2.0,1.0,84960531389.13176,2.0,0.0,64,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,1.0,2.0,1.0,84960531389.13176,2.0,1.0,65,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,2.0,2.0,1.0,84960531389.13176,2.0,2.0,66,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,-0.0,2.0,2.0,126651682393.73547,0.0,0.0,74,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,2.0,2.0,-109683574385.01321,1.0,-1.0,75,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,2.0,2.0,-109683574385.01321,1.0,0.0,76,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,2.0,2.0,-109683574385.01321,1.0,1.0,77,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-2.0,2.0,2.0,74928145770.5132,2.0,-2.0,78,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-1.0,2.0,2.0,74928145770.5132,2.0,-1.0,79,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,0.0,2.0,2.0,74928145770.5132,2.0,0.0,80,0
