term_id,K,Q,J,Jʹ,term_upper_id,transition_id,Kʹ,Qʹ,Jʹʹ,Jʹʹʹ,Kr,Qr,r_a_1,index1,index0
2p3_L=1.0_S=1.0,0.0,-0.0,0.0,0.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,0.0,-0.0,2.0,2.0,0.0,0.0,0.0,74,18
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,0.0,0.0,8215195278.406491,19,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,1.0,0.0,2515379571.1771874,19,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2.0,0.0,-1452255072.5332341,19,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,0.0,0.0,180269172250.74374,19,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,1.0,0.0,-27597968023.013172,19,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2.0,0.0,-3186738853.4346676,19,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,1.0,1.0,2515379571.1771874,20,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2.0,1.0,-2515379571.177187,20,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,1.0,1.0,-27597968023.013172,20,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2.0,1.0,-5519593604.602633,20,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2.0,2.0,-3557283904.0749974,21,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2.0,2.0,-7805884134.4168415,21,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,27,19
