term_id,K,Q,J,Jʹ,Kʹ,Qʹ,Jʹʹ,Jʹʹʹ,n_0,n_1,index1,index0
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,2.0,-1.0,2.0,2.0,0.0,-0.0,79,19
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.8164965809277258,18,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,29616496926.04057,0.0,20,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,-0.5773502691896256,24,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-0.0,28,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.47140452079103157,30,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,32,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,-0.6666666666666665,36,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,40,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,-0.0,44,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,-0.0,56,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,-0.0,60,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,-0.0,64,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,74,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,-0.0,76,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,-0.0,80,20
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,29616496926.04057,1.4999999999999998,21,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,-0.5,25,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,29,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5773502691896256,33,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,-0.5773502691896257,37,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,41,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,-0.0,45,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,-0.0,57,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,-0.0,61,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,-0.0,65,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,-0.0,77,21
2p3_L=1.0_S=1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,-0.0,81,21
2p3_L=1.0_S=1.0,2.0,-2.0,0.0,2.0,2.0,-2.0,0.0,2.0,31909909229.60795,-3.0,22,22
2p3_L=1.0_S=1.0,2.0,-2.0,0.0,2.0,2.0,-2.0,1.0,1.0,0.0,0.0,34,22
2p3_L=1.0_S=1.0,2.0,-2.0,0.0,2.0,2.0,-2.0,1.0,2.0,0.0,-0.6666666666666665,42,22
2p3_L=1.0_S=1.0,2.0,-2.0,0.0,2.0,3.0,-2.0,1.0,2.0,0.0,-0.47140452079103173,48,22
2p3_L=1.0_S=1.0,2.0,-2.0,0.0,2.0,2.0,-2.0,2.0,0.0,0.0,0.0,54,22
2p3_L=1.0_S=1.0,2.0,-2.0,0.0,2.0,2.0,-2.0,2.0,1.0,0.0,0.0,62,22
2p3_L=1.0_S=1.0,2.0,-2.0,0.0,2.0,3.0,-2.0,2.0,1.0,0.0,-0.0,68,22
2p3_L=1.0_S=1.0,2.0,-2.0,0.0,2.0,2.0,-2.0,2.0,2.0,0.0,0.0,78,22
2p3_L=1.0_S=1.0,2.0,-2.0,0.0,2.0,3.0,-2.0,2.0,2.0,0.0,-0.0,84,22
2p3_L=1.0_S=1.0,2.0,-1.0,0.0,2.0,1.0,-1.0,0.0,1.0,0.0,-0.5,19,23
2p3_L=1.0_S=1.0,2.0,-1.0,0.0,2.0,2.0,-1.0,0.0,2.0,31909909229.60795,-1.5000000000000002,23,23
