wavelength_A,I,Q,U,V
5.875100083402835480e+03,7.257621324409241348e-01,-1.501713624299237421e-04,8.818554665963532083e-05,4.876375350208464942e-04
5.875101751459549632e+03,7.257353685279268607e-01,-1.576405880442295366e-04,9.255535248174759019e-05,5.120167663620878423e-04
5.875103419516263784e+03,7.257073615313852644e-01,-1.654532945096432383e-04,9.712439739153421695e-05,5.375242993428702059e-04
5.875105087572977027e+03,7.256780594668973405e-01,-1.736235768811671858e-04,1.019007452712867651e-04,5.642070150418239611e-04
5.875106755629691179e+03,7.256474084967420302e-01,-1.821660122407437008e-04,1.068927286746652633e-04,5.921134435332440007e-04
5.875108423686405331e+03,7.256153528810566078e-01,-1.910956708720028740e-04,1.121089545865817553e-04,6.212938056715177574e-04
5.875110091743119483e+03,7.255818349284876012e-01,-2.004281274413574881e-04,1.175583101514996451e-04,6.518000552061220228e-04
5.875111759799833635e+03,7.255467949466005706e-01,-2.101794720978583458e-04,1.232499683153753908e-04,6.836859209482263819e-04
5.875113427856546878e+03,7.255101711920350915e-01,-2.203663214885739322e-04,1.291933933795316345e-04,7.170069489935150227e-04
5.875115095913261030e+03,7.254718998203674163e-01,-2.310058296949650774e-04,1.353983464688015453e-04,7.518205450399540824e-04
5.875116763969975182e+03,7.254319148360460767e-01,-2.421156989798225578e-04,1.418748908491782566e-04,7.881860164526411890e-04
5.875118432026689334e+03,7.253901480420652526e-01,-2.537141904290770656e-04,1.486333971392470911e-04,8.261646143553784188e-04
5.875120100083402576e+03,7.253465289897909063e-01,-2.658201343712970205e-04,1.556845483476699328e-04,8.658195753970217897e-04
5.875121768140116728e+03,7.253009849287392896e-01,-2.784529406132885349e-04,1.630393447641552353e-04,9.072161633315392344e-04
5.875123436196830880e+03,7.252534407567855501e-01,-2.916326083632530056e-04,1.707091086110976630e-04,9.504217099913762510e-04
5.875125104253545032e+03,7.252038189704078652e-01,-3.053797359304186469e-04,1.787054885267466209e-04,9.955056559851403839e-04
5.875126772310258275e+03,7.251520396154513826e-01,-3.197155300671748702e-04,1.870404637861205902e-04,1.042539590681869398e-03
5.875128440366972427e+03,7.250980202381974715e-01,-3.346618150008656635e-04,1.957263482919135555e-04,1.091597291661750447e-03
5.875130108423686579e+03,7.250416758372917325e-01,-3.502410409931599805e-04,2.047757942380647243e-04,1.142754763112448181e-03
5.875131776480400731e+03,7.249829188160800131e-01,-3.664762925441896846e-04,2.142017955134553392e-04,1.196090273581397250e-03
5.875133444537113974e+03,7.249216589359237517e-01,-3.833912960740391081e-04,2.240176907469719025e-04,1.251684392547991595e-03
5.875135112593828126e+03,7.248578032702354124e-01,-4.010104271401971113e-04,2.342371660267539095e-04,1.309620026023316803e-03
5.875136780650542278e+03,7.247912561599086922e-01,-4.193587170012583252e-04,2.448742571822701774e-04,1.369982450581432466e-03
5.875138448707256430e+03,7.247219191695988272e-01,-4.384618586640725863e-04,2.559433517075498693e-04,1.432859346286457711e-03
5.875140116763969672e+03,7.246496910455223484e-01,-4.583462122174241813e-04,2.674591902104399028e-04,1.498340827882202160e-03
5.875141784820683824e+03,7.245744676744976243e-01,-4.790388095251142501e-04,2.794368674285722617e-04,1.566519474513415914e-03
5.875143452877397976e+03,7.244961420449886891e-01,-5.005673580530357273e-04,2.918918326808208480e-04,1.637490357246512663e-03
5.875145120934112128e+03,7.244146042095261917e-01,-5.229602439954907436e-04,3.048398898485364357e-04,1.711351064956245088e-03
5.875146788990825371e+03,7.243297412492959442e-01,-5.462465344713957581e-04,3.182971967531015418e-04,1.788201727840911135e-03
5.875148457047539523e+03,7.242414372405445722e-01,-5.704559788763113740e-04,3.322802639783325844e-04,1.868145038865522654e-03
5.875150125104253675e+03,7.241495732237186456e-01,-5.956190091316311379e-04,3.468059529874648723e-04,1.951286272304364163e-03
5.875151793160967827e+03,7.240540271745724565e-01,-6.217667390244989824e-04,3.618914736459174987e-04,2.037733300028741774e-03
5.875153461217681070e+03,7.239546739781858031e-01,-6.489309623763554009e-04,3.775543809974219226e-04,2.127596604703602557e-03
5.875155129274395222e+03,7.238513854054580143e-01,-6.771441501415430449e-04,3.938125713519293673e-04,2.220989290232164293e-03
5.875156797331109374e+03,7.237440300931528014e-01,-7.064394461409576227e-04,4.106842775139924449e-04,2.318027088506238211e-03
5.875158465387823526e+03,7.236324735265823316e-01,-7.368506616593559341e-04,4.281880632837480071e-04,2.418828363213879583e-03
