profile,field_gauss,field_incl_deg,field_azim_deg,los_deg,height_arcsec,optical_depth,n,w,wavelength_A,I,Q,U,V
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875045037531275739e+03,7.261987554122659727e-01,-2.778152303351284956e-05,1.628615900625897500e-05,8.927519322106123646e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875046705587989891e+03,7.261933605429450322e-01,-2.930174356046712746e-05,1.718397036652144407e-05,9.420694845486801466e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875048373644704043e+03,7.261876817306210929e-01,-3.090165167254930523e-05,1.812865494671965063e-05,9.939789345006693822e-05
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875050041701418195e+03,7.261817049918359857e-01,-3.258514925178784312e-05,1.912249157677498710e-05,1.048607629021857697e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875051709758131437e+03,7.261754157153960110e-01,-3.435631132465418136e-05,2.016785909734102798e-05,1.106088607613199635e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875053377814845589e+03,7.261687986378261295e-01,-3.621939265675738941e-05,2.126724009442324312e-05,1.166560822901494286e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875055045871559741e+03,7.261618378181127209e-01,-3.817883452429432674e-05,2.242322473074694967e-05,1.230169367558296874e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875056713928273894e+03,7.261545166116479821e-01,-4.023927168432139443e-05,2.363851468326014915e-05,1.297065708156220319e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875058381984987136e+03,7.261468176434253685e-01,-4.240553952933133865e-05,2.491592717759375609e-05,1.367407925594420616e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875060050041701288e+03,7.261387227804307898e-01,-4.468268143902083539e-05,2.625839913023742762e-05,1.441360962598223282e-04
